Place,Year,Population
Alabama,2000,4452173
Alabama,2001,4467634
Alabama,2002,4480089
Alabama,2003,4503491
Alabama,2004,4530729
Alabama,2005,4569805
Alabama,2006,4628981
Alabama,2007,4672840
Alabama,2008,4718206
Alabama,2009,4757938
Alabama,2010,4785437
Alabama,2011,4799069
Alabama,2012,4815588
Alabama,2013,4830081
Alabama,2014,4841799
Alabama,2015,4852347
Alabama,2016,4863525
Alabama,2017,4874486
Alabama,2018,4887681
Alabama,2019,4903185
Alaska,2000,627963
Alaska,2001,633714
Alaska,2002,642337
Alaska,2003,648414
Alaska,2004,659286
Alaska,2005,666946
Alaska,2006,675302
Alaska,2007,680300
Alaska,2008,687455
Alaska,2009,698895
Alaska,2010,713910
Alaska,2011,722128
Alaska,2012,730443
Alaska,2013,737068
Alaska,2014,736283
Alaska,2015,737498
Alaska,2016,741456
Alaska,2017,739700
Alaska,2018,735139
Alaska,2019,731545
Arizona,2000,5160586
Arizona,2001,5273477
Arizona,2002,5396255
Arizona,2003,5510364
Arizona,2004,5652404
Arizona,2005,5839077
Arizona,2006,6029141
Arizona,2007,6167681
Arizona,2008,6280362
Arizona,2009,6343154
Arizona,2010,6407172
Arizona,2011,6472643
Arizona,2012,6554978
Arizona,2013,6632764
Arizona,2014,6730413
Arizona,2015,6829676
Arizona,2016,6941072
Arizona,2017,7044008
Arizona,2018,7158024
Arizona,2019,7278717
Arkansas,2000,2678588
Arkansas,2001,2691571
Arkansas,2002,2705927
Arkansas,2003,2724816
Arkansas,2004,2749686
Arkansas,2005,2781097
Arkansas,2006,2821761
Arkansas,2007,2848650
Arkansas,2008,2874554
Arkansas,2009,2896843
Arkansas,2010,2921964
Arkansas,2011,2940667
Arkansas,2012,2952164
Arkansas,2013,2959400
Arkansas,2014,2967392
Arkansas,2015,2978048
Arkansas,2016,2989918
Arkansas,2017,3001345
Arkansas,2018,3009733
Arkansas,2019,3017804
California,2000,33987977
California,2001,34479458
California,2002,34871843
California,2003,35253159
California,2004,35574576
California,2005,35827943
California,2006,36021202
California,2007,36250311
California,2008,36604337
California,2009,36961229
California,2010,37319502
California,2011,37638369
California,2012,37948800
California,2013,38260787
California,2014,38596972
California,2015,38918045
California,2016,39167117
California,2017,39358497
California,2018,39461588
California,2019,39512223
Colorado,2000,4326921
Colorado,2001,4425687
Colorado,2002,4490406
Colorado,2003,4528732
Colorado,2004,4575013
Colorado,2005,4631888
Colorado,2006,4720423
Colorado,2007,4803868
Colorado,2008,4889730
Colorado,2009,4972195
Colorado,2010,5047349
Colorado,2011,5121108
Colorado,2012,5192647
Colorado,2013,5269035
Colorado,2014,5350101
Colorado,2015,5450623
Colorado,2016,5539215
Colorado,2017,5611885
Colorado,2018,5691287
Colorado,2019,5758736
Connecticut,2000,3411777
Connecticut,2001,3432835
Connecticut,2002,3458749
Connecticut,2003,3484336
Connecticut,2004,3496094
Connecticut,2005,3506956
Connecticut,2006,3517460
Connecticut,2007,3527270
Connecticut,2008,3545579
Connecticut,2009,3561807
Connecticut,2010,3579114
Connecticut,2011,3588283
Connecticut,2012,3594547
Connecticut,2013,3594841
Connecticut,2014,3594524
Connecticut,2015,3587122
Connecticut,2016,3578141
Connecticut,2017,3573297
Connecticut,2018,3571520
Connecticut,2019,3565287
Delaware,2000,786373
Delaware,2001,795699
Delaware,2002,806169
Delaware,2003,818003
Delaware,2004,830803
Delaware,2005,845150
Delaware,2006,859268
Delaware,2007,871749
Delaware,2008,883874
Delaware,2009,891730
Delaware,2010,899593
Delaware,2011,907381
Delaware,2012,915179
